CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00474	GALAXY GLOBAL INTERNATIONAL LLC.	VALOR AGREGADO	5 Und * 1.9 Lb	SIN MARCA
00475	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00476	BARRUFET SEAFOOD SL	COLA	10 Und * 2 Kg	GOLDEN SHRIMP
00477	BARRUFET SEAFOOD SL	ENTERO	10 Und * 2 Kg	GOLDEN SHRIMP
00480	CONFREMAR	COLA	10 Und * 1.7 Kg	VITAGULF
00481	CONSIGNACIONES DEL MAR, SA	COLA	10 Und * 1.7 Kg	SIN MARCA
00482	VASILIS SAVRAMIS	ENTERO	6 Und * 2 Kg	SANTA MARINA
00483	DELFIN ULTRACONGELADOS S.A.	ENTERO	1 Und * 12 Kg	AQUAGOLD
00487	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00488	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00489	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00490	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00491	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00493	THE DEEP SEAFOOD CO LLC	ENTERO	6 Und * 2 Kg	VITAGULF
00494	GALAXY GLOBAL INTERNATIONAL LLC.	ENTERO	10 Und * 4 Lb	JIN PAI
00495	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	JIN PAI
00496	MIRA ROYAL DOO	COLA	10 Und * 2 Kg	GOLDEN SHRIMP
00497	Ascania Frozen Foods	COLA	10 Und * 2 Kg	SIN MARCA
00498	Hengsheng Heyuan Economic and trade	ENTERO	1 Und * 12 Kg	BZ DRAGON
00499	TIANJIN J-ONE SUPPLY CHAIN MANAGEMENT	ENTERO	1 Und * 12 Kg	GOLDEN SHRIMP
00500	SEAFOOD CONNECTION	VALOR AGREGADO	10 Und * 0.75 Kg	GOLDEN SHRIMP
00501	OKEANOS P.C.	ENTERO	10 Und * 2 Kg	AQUA MARIS
00502	LEQUALITY LIFE CO., LTD 	ENTERO	12 Und * 0.65 Kg	JIN PAI
00503	OKEANOS P.C.	ENTERO	6 Und * 2 Kg	SIN MARCA
00504	SEA WIN, INC.	COLA	10 Und * 4 Lb	GANIVA
00506	TIANJIN J-ONE SUPPLY CHAIN MANAGEMENT	ENTERO	1 Und * 12 Kg	RED TIGER
00507	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1 Kg	SIN MARCA
00508	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1 Kg	SIN MARCA
00510	FRESH&GOOD OÜ	COLA	1 Und * 12 Kg	GOLD FULIN
00511	THALASSA SEAFOODS	COLA	10 Und * 1.7 Kg	GOLDEN SHRIMP
00514	YUAN SYIN TRADING CO., LTD 	ENTERO	12 Und * 0.6 Kg	VITAGULF
00517	Bright Springs Foods, LLC	VALOR AGREGADO	4 Und * 5 Lb	VITAGULF
